,,,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All Donor Types,,"29,758","1,155","2,049","1,836","1,525","1,793","1,717","1,586","1,501","1,389","1,290","1,178","1,104","1,151","1,156",985,918,872,757,608,390,275,249,190,184,156,157,142,155,230,246,257,353,428,694,626,456
,,Deceased Donor,,"2,772",17,33,18,18,21,9,14,4,12,5,7,5,7,11,9,14,22,22,12,16,19,24,18,20,20,19,34,39,96,109,155,233,301,548,506,355
,,Living Donor,,"26,986","1,138","2,016","1,818","1,507","1,772","1,708","1,572","1,497","1,377","1,285","1,171","1,099","1,144","1,145",976,904,850,735,596,374,256,225,172,164,136,138,108,116,134,137,102,120,127,146,120,101
O,All Types,All Donor Types,,"251,210","6,201","11,725","11,359","10,393","10,616","9,523","8,995","8,612","8,088","7,659","7,631","7,314","7,606","7,637","7,604","7,336","7,606","7,665","7,407","7,312","6,948","6,631","6,401","6,129","5,543","5,546","5,139","5,077","4,936","4,860","4,660","4,505","4,366","4,172","3,968","4,040"
,,Deceased Donor,,"171,796","4,893","9,183","8,741","8,116","7,620","6,689","6,507","6,101","5,669","5,246","5,124","4,896","5,061","4,884","4,726","4,665","4,908","4,795","4,459","4,266","4,012","3,765","3,619","3,600","3,444","3,549","3,422","3,388","3,446","3,513","3,378","3,306","3,297","3,222","3,061","3,225"
,,Living Donor,,"79,414","1,308","2,542","2,618","2,277","2,996","2,834","2,488","2,511","2,419","2,413","2,507","2,418","2,545","2,753","2,878","2,671","2,698","2,870","2,948","3,046","2,936","2,866","2,782","2,529","2,099","1,997","1,717","1,689","1,490","1,347","1,282","1,199","1,069",950,907,815
,Not Applicable,All Donor Types,,"21,652",31,47,52,33,42,38,41,42,61,159,230,277,321,430,503,585,700,825,978,"1,112","1,212","1,210","1,232","1,158",991,999,865,936,852,823,863,843,777,739,820,825
,,Deceased Donor,,"1,054",16,24,17,15,17,6,16,6,8,10,15,17,14,25,19,31,31,40,41,52,49,52,42,27,13,4,6,7,10,12,15,26,28,52,119,172
,,Living Donor,,"20,598",15,23,35,18,25,32,25,36,53,149,215,260,307,405,484,554,669,785,937,"1,060","1,163","1,158","1,190","1,131",978,995,859,929,842,811,848,817,749,687,701,653
,Kidney/Pancreas/Kidney-Pancreas: Active,All Donor Types,,"215,712","5,703","10,821","10,524","9,710","9,814","8,761","8,280","7,896","7,427","6,944","6,876","6,588","6,785","6,679","6,642","6,332","6,481","6,486","6,131","5,983","5,571","5,272","5,042","4,863","4,448","4,429","4,169","4,030","3,953","3,894","3,642","3,454","3,337","3,049","2,802","2,894"
,,Deceased Donor,,"168,686","4,867","9,147","8,718","8,093","7,586","6,673","6,483","6,085","5,650","5,227","5,091","4,870","5,030","4,846","4,685","4,613","4,837","4,729","4,388","4,178","3,921","3,681","3,538","3,538","3,392","3,496","3,372","3,332","3,371","3,427","3,265","3,143","3,083","2,871","2,666","2,794"
,,
,,Living Donor,,"47,026",836,"1,674","1,806","1,617","2,228","2,088","1,797","1,811","1,777","1,717","1,785","1,718","1,755","1,833","1,957","1,719","1,644","1,757","1,743","1,805","1,650","1,591","1,504","1,325","1,056",933,797,698,582,467,377,311,254,178,136,100
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All Donor Types,,679,0,0,0,2,6,4,3,8,6,6,13,2,14,12,13,12,21,14,14,14,20,10,19,23,29,33,25,29,30,26,36,38,48,45,41,63
,,Deceased Donor,,586,0,0,0,1,4,4,3,7,6,6,11,2,12,11,11,12,20,13,13,12,16,6,16,21,19,26,23,23,24,24,31,26,44,41,38,60
,,Living Donor,,93,0,0,0,1,2,0,0,1,0,0,2,0,2,1,2,0,1,1,1,2,4,4,3,2,10,7,2,6,6,2,5,12,4,4,3,3
,Kidney/Panc/Kidney-Panc: Active-Critical status,All Donor Types,,313,0,0,0,2,1,3,1,3,2,2,4,6,4,0,10,7,8,6,11,17,19,16,12,7,12,13,6,7,12,6,15,8,21,10,23,39
,,Deceased Donor,,303,0,0,0,2,1,3,1,3,2,2,4,6,4,0,9,7,6,6,11,17,17,16,12,7,11,13,6,7,12,6,14,8,20,8,23,39
,,Living Donor,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All Donor Types,,"12,854",467,857,783,646,753,717,670,663,592,548,508,441,482,516,436,400,396,334,273,186,126,123,96,78,63,72,74,75,89,111,104,162,183,329,282,219
,,Deceased Donor,,"1,167",10,12,6,5,12,3,4,0,3,1,3,1,1,2,2,2,14,7,6,7,9,10,11,7,9,10,15,19,29,44,53,103,122,250,215,160
,,Living Donor,,"11,687",457,845,777,641,741,714,666,663,589,547,505,440,481,514,434,398,382,327,267,179,117,113,85,71,54,62,59,56,60,67,51,59,61,79,67,59
A,All Types,All Donor Types,,"206,034","4,691","8,864","8,678","8,180","8,372","7,553","7,214","7,001","6,470","6,364","6,254","6,150","6,227","6,124","6,236","6,158","6,117","6,354","6,187","5,931","5,635","5,610","5,466","5,216","4,925","4,768","4,586","4,474","4,292","4,046","4,060","3,674","3,760","3,721","3,263","3,413"
,,Deceased Donor,,"137,303","3,499","6,638","6,434","6,112","5,748","5,092","4,900","4,840","4,255","4,228","4,032","3,925","3,969","3,727","3,815","3,876","3,778","3,870","3,656","3,418","3,204","3,277","3,174","3,141","3,090","3,096","3,003","3,072","2,948","2,863","2,944","2,721","2,793","2,929","2,556","2,680"
,,Living Donor,,"68,731","1,192","2,226","2,244","2,068","2,624","2,461","2,314","2,161","2,215","2,136","2,222","2,225","2,258","2,397","2,421","2,282","2,339","2,484","2,531","2,513","2,431","2,333","2,292","2,075","1,835","1,672","1,583","1,402","1,344","1,183","1,116",953,967,792,707,733
,Not Applicable,All Donor Types,,"20,076",20,34,49,37,38,42,43,35,46,142,239,243,312,393,481,511,660,774,890,994,"1,081","1,055","1,152","1,053",957,935,902,803,815,774,818,722,792,684,689,861
,,Deceased Donor,,"1,012",8,15,23,13,15,14,14,8,9,12,14,8,13,15,32,26,26,28,33,46,46,23,38,29,11,12,8,6,14,6,13,14,28,51,115,226
,,Living Donor,,"19,064",12,19,26,24,23,28,29,27,37,130,225,235,299,378,449,485,634,746,857,948,"1,035","1,032","1,114","1,024",946,923,894,797,801,768,805,708,764,633,574,635
,Kidney/Pancreas/Kidney-Pancreas: Active,All Donor Types,,"173,520","4,204","8,026","7,896","7,525","7,614","6,801","6,506","6,367","5,863","5,699","5,526","5,439","5,422","5,283","5,358","5,272","5,119","5,255","5,048","4,776","4,431","4,456","4,232","4,067","3,867","3,759","3,615","3,581","3,347","3,159","3,106","2,779","2,769","2,731","2,283","2,339"
,,Deceased Donor,,"134,624","3,487","6,608","6,402","6,089","5,725","5,074","4,875","4,828","4,236","4,207","4,014","3,908","3,944","3,694","3,771","3,832","3,733","3,810","3,596","3,354","3,134","3,225","3,117","3,080","3,049","3,064","2,967","3,028","2,864","2,791","2,838","2,583","2,617","2,617","2,191","2,272"
,,Living Donor,,"38,896",717,"1,418","1,494","1,436","1,889","1,727","1,631","1,539","1,627","1,492","1,512","1,531","1,478","1,589","1,587","1,440","1,386","1,445","1,452","1,422","1,297","1,231","1,115",987,818,695,648,553,483,368,268,196,152,114,92,67
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All Donor Types,,394,0,0,0,2,3,0,3,1,4,7,2,5,6,7,3,11,10,14,15,10,9,5,10,13,16,11,20,21,18,14,16,19,22,25,37,35
,,Deceased Donor,,344,0,0,0,2,2,0,2,1,3,5,2,5,5,6,3,9,9,14,13,10,9,5,8,12,12,9,13,19,15,10,11,16,21,23,35,35
,,Living Donor,,50,0,0,0,0,1,0,1,0,1,2,0,0,1,1,0,2,1,0,2,0,0,0,2,1,4,2,7,2,3,4,5,3,1,2,2,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,All Donor Types,,207,0,0,0,1,2,2,1,1,0,2,2,3,2,7,7,3,4,6,8,4,11,16,7,10,8,4,4,4,5,5,8,7,5,15,21,22
,,Deceased Donor,,197,0,0,0,1,2,2,1,1,0,2,1,3,2,7,5,3,4,5,8,4,9,16,7,10,8,4,3,4,5,5,8,6,5,15,20,21
,,Living Donor,,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
,,
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All Donor Types,,"11,837",467,804,733,615,715,708,661,597,557,514,485,460,485,434,387,361,324,305,226,147,103,78,65,73,77,59,45,65,107,94,112,147,172,266,233,156
,,Deceased Donor,,"1,126",4,15,9,7,4,2,8,2,7,2,1,1,5,5,4,6,6,13,6,4,6,8,4,10,10,7,12,15,50,51,74,102,122,223,195,126
,,Living Donor,,"10,711",463,789,724,608,711,706,653,595,550,512,484,459,480,429,383,355,318,292,220,143,97,70,61,63,67,52,33,50,57,43,38,45,50,43,38,30
B,All Types,All Donor Types,,"72,747","2,003","3,709","3,531","3,194","3,233","3,061","2,672","2,587","2,366","2,284","2,196","2,164","2,164","2,314","2,191","2,259","2,083","2,254","2,121","2,064","1,887","1,847","1,745","1,661","1,663","1,568","1,459","1,322","1,320","1,236","1,214","1,102","1,117","1,093","1,041","1,022"
,,Deceased Donor,,"49,378","1,582","2,892","2,679","2,480","2,279","2,171","1,900","1,862","1,600","1,524","1,424","1,432","1,421","1,424","1,347","1,478","1,326","1,415","1,266","1,230","1,023","1,039",991,966,"1,044","1,007",962,844,901,871,862,809,846,837,817,827
,,Living Donor,,"23,369",421,817,852,714,954,890,772,725,766,760,772,732,743,890,844,781,757,839,855,834,864,808,754,695,619,561,497,478,419,365,352,293,271,256,224,195
,Not Applicable,All Donor Types,,"5,695",7,22,14,12,11,13,15,20,12,31,78,77,81,114,146,146,172,219,242,293,321,326,328,294,298,256,240,252,230,217,228,188,191,206,200,195
,,Deceased Donor,,241,2,13,4,6,4,4,4,8,1,2,1,3,5,3,5,6,6,11,7,9,5,11,4,5,5,7,1,0,1,5,3,4,1,17,27,41
,,Living Donor,,"5,454",5,9,10,6,7,9,11,12,11,29,77,74,76,111,141,140,166,208,235,284,316,315,324,289,293,249,239,252,229,212,225,184,190,189,173,154
,Kidney/Pancreas/Kidney-Pancreas: Active,All Donor Types,,"63,015","1,847","3,398","3,278","2,989","2,963","2,827","2,470","2,377","2,178","2,074","1,977","1,943","1,945","2,041","1,919","1,989","1,790","1,935","1,788","1,720","1,523","1,473","1,386","1,334","1,337","1,283","1,191","1,053","1,044",985,942,870,853,808,741,744
,,Deceased Donor,,"48,537","1,580","2,874","2,673","2,468","2,271","2,161","1,892","1,848","1,593","1,516","1,416","1,425","1,412","1,410","1,334","1,461","1,311","1,396","1,246","1,211","1,010","1,012",976,954,"1,026",992,946,838,872,850,825,773,787,759,703,716
,,Living Donor,,"14,478",267,524,605,521,692,666,578,529,585,558,561,518,533,631,585,528,479,539,542,509,513,461,410,380,311,291,245,215,172,135,117,97,66,49,38,28
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All Donor Types,,213,0,0,0,2,2,4,1,3,4,6,4,1,3,9,4,5,4,5,7,3,5,5,9,5,11,7,8,3,17,8,8,11,14,10,8,17
,,Deceased Donor,,188,0,0,0,2,2,3,1,3,4,5,4,1,3,7,3,5,4,4,7,3,4,5,9,4,8,7,6,1,13,8,7,11,13,8,8,15
,,Living Donor,,25,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,1,3,0,2,2,4,0,1,0,1,2,0,2
,Kidney/Panc/Kidney-Panc: Active-Critical status,All Donor Types,,78,0,0,0,0,0,0,1,2,0,0,1,0,1,1,2,1,4,3,6,5,3,5,0,0,4,1,3,3,3,1,5,3,1,4,8,7
,,Deceased Donor,,75,0,0,0,0,0,0,1,2,0,0,1,0,1,1,2,1,4,3,6,5,2,5,0,0,4,1,3,2,3,1,5,3,1,4,7,7
,,Living Donor,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All Donor Types,,"3,746",149,289,239,191,257,217,185,185,172,173,136,143,134,149,120,118,113,92,78,43,35,38,22,28,13,21,17,11,26,25,31,30,58,65,84,59
,,Deceased Donor,,337,0,5,2,4,2,3,2,1,2,1,2,3,0,3,3,5,1,1,0,2,2,6,2,3,1,0,6,3,12,7,22,18,44,49,72,48
,,Living Donor,,"3,409",149,284,237,187,255,214,183,184,170,172,134,140,134,146,117,113,112,91,78,41,33,32,20,25,12,21,11,8,14,18,9,12,14,16,12,11
AB,All Types,All Donor Types,,"26,291",659,"1,202","1,102","1,050","1,180","1,030",968,860,954,801,815,859,819,825,798,768,828,822,770,700,668,693,667,625,634,569,526,538,536,504,426,457,434,419,383,402
,,Deceased Donor,,"19,302",508,923,845,875,887,773,731,628,726,572,583,615,592,587,554,534,579,580,532,445,429,459,450,419,466,382,390,428,400,392,325,368,345,333,318,329
,,Living Donor,,"6,989",151,279,257,175,293,257,237,232,228,229,232,244,227,238,244,234,249,242,238,255,239,234,217,206,168,187,136,110,136,112,101,89,89,86,65,73
,Not Applicable,All Donor Types,,"2,029",6,4,5,2,9,3,1,7,3,17,20,26,21,37,48,48,61,90,83,111,99,109,117,120,97,105,70,71,94,71,77,67,78,75,75,102
,,
,,Deceased Donor,,126,3,2,1,1,4,2,1,3,0,1,0,1,1,0,3,1,4,5,3,4,4,3,6,2,0,0,1,1,0,1,4,3,1,6,21,33
,,Living Donor,,"1,903",3,2,4,1,5,1,0,4,3,16,20,25,20,37,45,47,57,85,80,107,95,106,111,118,97,105,69,70,94,70,73,64,77,69,54,69
,Kidney/Pancreas/Kidney-Pancreas: Active,All Donor Types,,"22,886",581,"1,099","1,016",975,"1,100",952,896,797,883,728,744,773,746,731,707,679,728,702,655,573,556,572,541,499,533,457,448,461,432,417,339,375,338,307,277,269
,,Deceased Donor,,"18,982",502,920,843,872,877,770,729,624,726,569,580,614,588,586,550,530,574,570,528,436,421,454,442,416,465,378,386,424,393,384,315,354,328,299,269,266
,,Living Donor,,"3,904",79,179,173,103,223,182,167,173,157,159,164,159,158,145,157,149,154,132,127,137,135,118,99,83,68,79,62,37,39,33,24,21,10,8,8,3
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All Donor Types,,44,0,0,0,0,3,0,1,0,0,1,2,0,2,0,1,2,0,4,1,0,1,2,2,0,0,1,2,2,0,0,0,1,3,2,4,7
,,Deceased Donor,,41,0,0,0,0,3,0,1,0,0,1,2,0,2,0,1,2,0,4,1,0,1,2,1,0,0,1,2,1,0,0,0,1,3,1,4,7
,,Living Donor,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,All Donor Types,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,2,0,0,0,0,1,0,2
,,Deceased Donor,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,2,0,0,0,0,1,0,2
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All Donor Types,,"1,321",72,99,81,73,68,75,70,56,68,55,49,60,50,57,42,39,39,26,31,14,11,10,7,5,3,5,6,4,8,16,10,14,15,34,27,22
,,Deceased Donor,,142,3,1,1,2,3,1,0,1,0,1,1,0,1,1,0,1,1,1,0,3,2,0,1,0,0,2,1,2,5,7,6,10,13,26,24,21
,,Living Donor,,"1,179",69,98,80,71,65,74,70,55,68,54,48,60,49,56,42,38,38,25,31,11,9,10,6,5,3,3,5,2,3,9,4,4,2,8,3,1
Unknown,All Types,All Donor Types,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,11,1,1
,,Deceased Donor,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
,,Living Donor,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,10,0,1
,Not Applicable,All Donor Types,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,10,0,1
,,Living Donor,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,10,0,1
,Kidney/Pancreas/Kidney-Pancreas: Active,All Donor Types,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
,,Deceased Donor,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
