,,,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
,Kidney/Panc/Kidney-Panc: Active-Critical status,All ABO,,480,0,0,0,3,3,5,3,10,4,9,7,10,9,11,24,19,26,24,31,36,39,44,27,33,26,21,17,16,27
,,O,,246,0,0,0,2,1,3,1,5,4,6,4,6,6,1,15,12,14,7,13,20,22,19,14,18,13,13,8,7,15
,,A,,164,0,0,0,1,2,2,1,2,0,3,2,4,2,8,7,5,8,12,11,7,12,20,10,14,8,6,6,6,6
,,B,,58,0,0,0,0,0,0,1,2,0,0,1,0,1,2,2,2,4,4,6,7,4,5,3,0,4,1,3,3,3
,,AB,,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,1,1,0,0,3
,,
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,"218,349","7,629","14,262","13,035","12,414","13,335","13,852","14,119","14,301","13,844","12,378","11,162","10,689","10,177","9,349","8,736","8,429","7,209","6,067","5,110","4,172","3,071","2,980","2,480","2,598","2,170","1,902","1,832","1,758","1,923"
,,O,,"109,495","3,886","7,193","6,576","6,322","6,752","6,985","7,119","7,229","6,914","6,153","5,546","5,303","4,988","4,719","4,434","4,279","3,605","3,065","2,547","2,127","1,534","1,488","1,247","1,286","1,091",953,920,847,916
,,A,,"68,450","2,307","4,311","4,006","3,740","4,081","4,334","4,336","4,486","4,361","3,938","3,536","3,366","3,309","2,915","2,719","2,587","2,233","1,890","1,602","1,278",954,932,781,835,715,586,588,600,622
,,B,,"33,489","1,173","2,339","2,045","1,964","2,137","2,124","2,214","2,140","2,116","1,871","1,699","1,663","1,564","1,416","1,301","1,301","1,142",921,802,627,491,481,387,402,305,308,270,255,310
,,AB,,"6,925",263,419,408,388,365,410,450,446,453,416,381,357,316,299,282,262,229,191,159,140,92,79,65,75,59,55,53,56,75
,,Unknown,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Deceased Donor Transplant,All Types,All ABO,,"310,027","10,480","19,617","18,682","17,573","16,518","14,714","14,022","13,418","12,236","11,559","11,152","10,850","11,026","10,600","10,430","10,527","10,572","10,600","9,864","9,293","8,602","8,453","8,168","8,040","7,993","7,991","7,728","7,659","7,636"
,,O,,"140,973","4,891","9,173","8,734","8,111","7,612","6,683","6,500","6,096","5,662","5,242","5,121","4,892","5,050","4,878","4,722","4,653","4,897","4,772","4,440","4,235","3,983","3,729","3,585","3,561","3,422","3,534","3,400","3,361","3,426"
,,A,,"111,421","3,499","6,631","6,428","6,110","5,742","5,091","4,895","4,834","4,248","4,224","4,026","3,915","3,964","3,714","3,810","3,866","3,772","3,847","3,636","3,396","3,178","3,245","3,155","3,105","3,067","3,078","2,981","3,040","2,915"
,,B,,"41,749","1,582","2,892","2,677","2,477","2,278","2,168","1,898","1,860","1,599","1,522","1,423","1,430","1,420","1,422","1,347","1,474","1,326","1,407","1,258","1,225","1,015","1,025",981,957,"1,037",998,958,836,896
,,AB,,"15,898",508,921,843,875,886,772,729,628,727,571,582,613,592,586,551,534,577,574,530,437,426,454,447,417,467,381,389,422,399
,Not Applicable,All ABO,,40,7,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,7
,,O,,23,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,4
,,A,,11,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
,,B,,6,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,"308,214","10,455","19,580","18,657","17,547","16,482","14,689","13,994","13,394","12,214","11,532","11,118","10,828","10,992","10,559","10,387","10,476","10,502","10,529","9,780","9,208","8,521","8,381","8,094","7,924","7,826","7,831","7,544","7,480","7,411"
,,O,,"140,165","4,877","9,157","8,724","8,102","7,596","6,671","6,491","6,084","5,652","5,230","5,102","4,882","5,034","4,864","4,697","4,632","4,856","4,744","4,403","4,192","3,942","3,700","3,551","3,510","3,347","3,452","3,317","3,283","3,343"
,,A,,"110,762","3,492","6,616","6,418","6,100","5,734","5,086","4,883","4,829","4,241","4,217","4,021","3,906","3,953","3,697","3,800","3,847","3,752","3,817","3,605","3,374","3,154","3,216","3,129","3,062","3,004","3,022","2,910","2,963","2,815"
,,B,,"41,481","1,581","2,886","2,673","2,472","2,272","2,161","1,893","1,854","1,594","1,516","1,416","1,427","1,416","1,413","1,340","1,466","1,317","1,398","1,243","1,211","1,004","1,013",968,939,"1,016",980,936,823,866
,,AB,,"15,820",505,921,842,873,880,771,727,627,727,569,579,613,589,585,550,531,577,570,529,431,421,452,446,413,459,377,381,411,387
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All ABO,,612,0,0,0,5,11,7,7,11,13,17,19,9,22,26,18,28,34,32,34,24,30,18,35,37,33,31,36,38,47
,,O,,305,0,0,0,1,4,4,3,7,6,6,11,2,12,12,11,12,21,13,13,12,16,6,17,22,18,21,20,18,22
,,A,,177,0,0,0,2,2,0,2,1,3,5,2,6,5,7,3,9,10,13,13,9,9,5,8,11,8,3,11,18,14
,,B,,107,0,0,0,2,2,3,1,3,4,5,4,1,3,7,3,5,3,3,7,3,4,5,9,4,7,6,4,1,11
,,AB,,23,0,0,0,0,3,0,1,0,0,1,2,0,2,0,1,2,0,3,1,0,1,2,1,0,0,1,1,1,0
,,
,Kidney/Panc/Kidney-Panc: Active-Critical status,All ABO,,355,0,0,0,3,3,5,3,6,2,4,6,9,7,8,17,10,14,15,25,28,29,33,20,17,23,20,13,14,22
,,O,,185,0,0,0,2,1,3,1,3,2,2,4,6,4,0,10,6,6,6,11,17,17,16,12,7,11,13,7,7,12
,,A,,116,0,0,0,1,2,2,1,1,0,2,1,3,2,7,5,3,4,6,8,4,9,13,7,9,7,5,4,5,5
,,B,,46,0,0,0,0,0,0,1,2,0,0,1,0,1,1,2,1,4,3,6,5,2,4,1,0,4,1,2,2,3
,,AB,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,2
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,"1,069",18,27,17,18,22,13,18,7,7,6,10,5,5,8,10,13,23,29,29,34,24,21,20,62,109,107,134,124,151
,,O,,419,10,12,6,6,11,5,5,2,2,4,4,2,0,3,4,3,15,11,15,14,9,7,5,22,44,47,55,50,46
,,A,,454,5,12,8,7,4,3,9,3,4,0,3,1,4,3,4,7,6,13,12,10,7,11,12,23,48,47,56,54,79
,,B,,133,0,3,2,3,4,4,3,1,1,1,2,2,0,1,2,2,2,4,2,6,5,3,3,14,10,11,16,10,16
,,AB,,63,3,0,1,2,3,1,1,1,0,1,1,0,1,1,0,1,0,1,0,4,3,0,0,3,7,2,7,10,10
Living Donor Transplant,All Types,All ABO,,"125,401","3,067","5,852","5,954","5,224","6,851","6,430","5,793","5,605","5,585","5,283","5,265","5,086","5,151","5,464","5,381","4,859","4,625","4,737","4,602","4,387","3,970","3,738","3,452","3,047","2,428","2,147","1,872","1,635","1,427"
,,O,,"55,970","1,306","2,534","2,608","2,273","2,990","2,827","2,481","2,499","2,399","2,300","2,324","2,194","2,271","2,408","2,446","2,176","2,080","2,153","2,082","2,052","1,832","1,762","1,661","1,442","1,128","1,003",858,761,650
,,A,,"47,491","1,190","2,223","2,240","2,063","2,617","2,458","2,304","2,153","2,200","2,031","2,021","2,008","1,997","2,064","2,016","1,843","1,746","1,775","1,727","1,613","1,430","1,337","1,230","1,091",900,750,689,607,545
,,B,,"17,062",420,816,849,713,953,889,771,721,760,736,704,665,674,787,717,648,606,647,630,571,562,508,452,424,329,312,258,227,190
,,AB,,"4,886",151,279,257,175,291,256,237,232,226,216,216,219,209,205,202,192,193,162,163,151,146,131,109,90,71,82,67,40,42
,Not Applicable,All ABO,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
,,O,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,A,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,"99,295","1,946","3,876","4,171","3,741","5,095","4,740","4,228","4,108","4,204","3,991","4,105","3,981","3,992","4,297","4,381","3,941","3,747","3,903","3,873","3,911","3,619","3,358","3,084","2,727","2,248","1,977","1,741","1,497","1,269"
,,O,,"44,655",860,"1,710","1,845","1,640","2,252","2,120","1,817","1,840","1,802","1,749","1,817","1,742","1,777","1,884","2,003","1,773","1,672","1,777","1,752","1,812","1,677","1,582","1,485","1,299","1,052",921,792,697,580
,,A,,"37,145",733,"1,453","1,532","1,467","1,917","1,759","1,658","1,553","1,651","1,518","1,550","1,550","1,518","1,630","1,627","1,478","1,420","1,446","1,458","1,438","1,297","1,206","1,095",971,819,687,643,548,480
,,B,,"13,733",271,531,613,529,699,679,585,537,589,561,570,528,537,634,592,532,499,543,536,525,510,454,408,376,309,290,245,215,170
,,AB,,"3,768",82,182,181,105,227,182,168,178,162,163,168,161,160,149,159,158,156,137,127,136,135,116,96,81,68,79,61,37,39
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All ABO,,113,0,0,0,1,3,0,1,1,1,2,2,0,4,4,3,2,2,2,2,2,5,4,6,6,17,9,11,11,13
,,O,,61,0,0,0,1,2,0,0,1,0,0,2,0,2,1,2,0,1,1,1,2,4,4,3,4,10,7,2,6,6
,,
,,A,,30,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,2,1,0,1,0,0,0,1,1,4,2,7,2,3
,,B,,20,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,0,0,1,0,1,1,3,0,2,2,4
,,AB,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,All ABO,,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,1,0,0,6,0,0,0,1,0,2,1,0
,,O,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0
,,A,,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,2,0,0
,,B,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,"26,825","1,121","1,976","1,783","1,482","1,753","1,692","1,565","1,496","1,381","1,290","1,157","1,105","1,156","1,164",994,917,874,832,727,475,340,376,362,314,158,161,118,126,145
,,O,,"11,620",446,824,763,632,736,708,664,658,597,551,505,452,492,524,440,404,405,375,329,238,149,176,173,139,64,75,64,58,64
,,A,,"10,636",457,770,708,596,699,699,646,600,549,512,470,458,479,433,387,363,325,329,268,176,130,131,134,119,74,61,37,57,62
,,B,,"3,421",149,285,236,184,254,211,186,184,171,174,134,137,136,151,124,116,107,103,94,46,50,54,43,47,17,22,11,9,16
,,AB,,"1,149",69,97,76,70,64,74,69,54,64,53,48,58,49,56,43,34,37,25,36,15,11,15,12,9,3,3,6,2,3
Deceased Donor Emergency Tx,All Types,All ABO,,142,0,2,0,1,0,1,1,2,3,2,0,1,3,1,1,3,3,5,12,13,13,6,13,15,10,7,8,8,8
,,O,,63,0,1,0,0,0,0,1,1,1,0,0,0,2,0,1,2,3,1,7,8,7,2,6,9,3,2,3,1,2
,,A,,58,0,1,0,0,0,1,0,1,2,1,0,0,1,1,0,1,0,3,3,2,6,4,2,6,6,5,3,4,5
,,B,,15,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,4,0,0,0,1,2,1
,,AB,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,120,0,2,0,0,0,1,1,2,1,2,0,0,2,0,1,3,2,4,8,11,13,4,11,13,9,6,8,8,8
,,O,,53,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,2,2,1,5,7,7,2,4,8,2,1,3,1,2
,,A,,49,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,2,1,2,6,2,2,5,6,5,3,4,5
,,B,,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,1,2,1
,,AB,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All ABO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,A,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,21,0,0,0,1,0,0,0,0,2,0,0,1,1,1,0,0,1,1,3,2,0,2,2,2,1,1,0,0,0
,,
,,O,,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,2,1,1,1,0,0,0
,,A,,8,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
,,B,,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,AB,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Deceased Donor Multi-Organ Tx,All Types,All ABO,,481,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,6,18,18,28,33,64,41,54,46,28,42,60,30
,,O,,211,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,9,4,13,13,28,21,25,19,16,20,27,8
,,A,,189,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,3,3,9,9,13,19,15,24,20,7,19,24,18
,,B,,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,6,13,3,4,6,3,3,7,2
,,AB,,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,4,1,4,2,1,1,2,0,2,2
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,406,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,15,16,24,24,46,31,43,35,28,41,60,30
,,O,,181,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,8,4,11,7,21,15,22,16,16,20,27,8
,,A,,153,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,1,7,7,10,12,13,16,13,7,19,24,18
,,B,,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,6,9,2,4,5,3,2,7,2
,,AB,,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,4,1,4,1,1,1,2,0,2,2
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All ABO,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
,,A,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,All ABO,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,1,0,0
,,O,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,,A,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
,,B,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,64,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,2,4,9,13,10,10,8,0,0,0,0
,,O,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,6,6,6,3,3,0,0,0,0
,,A,,29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2,2,3,4,2,7,4,0,0,0,0
,,B,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0
,,AB,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
,,
Patient died during TX procedure,All Types,All ABO,,14,0,1,0,0,2,1,2,0,0,1,0,1,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
,,O,,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
,,A,,6,0,1,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,B,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,AB,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,14,0,1,0,0,2,1,2,0,0,1,0,1,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
,,O,,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
,,A,,6,0,1,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,B,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,AB,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transplanted in another country,All Types,All ABO,,878,37,53,36,48,57,58,72,78,57,51,46,54,40,50,18,27,22,23,19,8,10,11,4,7,6,2,3,0,1
,,O,,412,20,27,19,24,24,35,31,32,27,22,17,23,14,28,8,12,12,13,11,5,4,5,2,3,3,2,0,0,0
,,A,,228,5,15,11,12,15,11,23,23,15,12,14,17,10,9,6,6,6,4,4,2,4,3,1,3,1,0,1,0,0
,,B,,211,12,8,5,11,17,9,16,20,14,16,13,14,14,12,4,8,2,5,3,1,2,3,1,1,1,0,2,0,1
,,AB,,27,0,3,1,1,1,3,2,3,1,1,2,0,2,1,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,573,17,32,18,25,32,33,48,49,36,36,29,36,30,33,13,22,19,19,13,7,8,4,3,7,6,2,3,0,1
,,O,,269,10,15,9,12,14,20,20,21,21,11,12,14,12,17,6,10,11,11,8,5,4,2,2,3,3,2,0,0,0
,,A,,155,3,10,6,6,7,6,15,16,10,10,9,13,8,7,5,5,5,4,3,1,2,0,1,3,1,0,1,0,0
,,B,,135,4,5,3,6,11,5,12,11,5,14,8,9,10,8,2,7,1,3,1,1,2,2,0,1,1,0,2,0,1
,,AB,,14,0,2,0,1,0,2,1,1,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,331,20,24,18,23,29,25,26,33,21,16,17,18,10,18,5,5,4,4,6,1,2,7,1,0,0,0,0,0,0
,,O,,156,10,14,10,12,12,15,11,13,6,12,5,9,2,12,2,2,1,2,3,0,0,3,0,0,0,0,0,0,0
,,A,,78,2,6,5,6,8,5,9,8,5,2,5,4,2,2,1,1,1,0,1,1,2,3,0,0,0,0,0,0,0
,,B,,83,8,3,2,5,8,4,5,10,9,2,5,5,4,4,2,1,1,2,2,0,0,1,1,0,0,0,0,0,0
,,AB,,14,0,1,1,0,1,1,1,2,1,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,
Unable to contact candidate,All Types,All ABO,,"11,015",439,733,643,722,"1,261","1,194","1,071",996,869,638,638,556,173,112,129,268,218,103,82,76,66,88,68,5,0,0,1,0,1
,,O,,"5,842",240,387,336,396,723,647,553,516,450,328,332,279,85,65,74,144,111,52,38,46,31,44,32,4,0,0,0,0,0
,,A,,"3,043",107,183,176,192,311,328,280,301,270,176,190,170,53,25,29,74,68,30,27,19,22,24,25,1,0,0,1,0,1
,,B,,"1,820",77,143,113,119,199,199,201,157,121,119,92,90,30,20,18,37,33,16,12,8,10,17,9,0,0,0,0,0,0
,,AB,,310,15,20,18,15,28,20,37,22,28,15,24,17,5,2,8,13,6,5,5,3,3,3,2,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,"1,235",34,88,67,82,142,133,143,73,67,53,65,51,8,19,14,23,21,11,30,26,28,26,33,2,0,0,1,0,0
,,O,,692,24,43,42,47,78,81,77,40,46,28,34,29,5,11,8,15,11,6,13,17,14,12,13,1,0,0,0,0,0
,,A,,312,6,27,8,20,36,32,44,20,11,13,18,11,3,5,4,6,7,2,10,5,8,2,13,1,0,0,1,0,0
,,B,,204,4,17,16,15,27,19,19,12,6,12,11,10,0,2,1,1,3,2,7,2,3,10,6,0,0,0,0,0,0
,,AB,,27,0,1,1,0,1,1,3,1,4,0,2,1,0,1,1,1,0,1,0,2,3,2,1,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All ABO,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,O,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,A,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,"9,806",406,647,577,640,"1,119","1,063",929,924,802,584,574,505,165,93,115,245,197,92,51,50,38,63,35,3,0,0,0,0,1
,,O,,"5,166",216,345,295,349,645,567,476,477,404,300,298,250,80,54,66,129,100,46,24,29,17,32,19,3,0,0,0,0,0
,,A,,"2,737",102,157,168,172,275,297,237,281,259,162,172,159,50,20,25,68,61,28,17,14,14,22,12,0,0,0,0,0,1
,,B,,"1,620",73,126,97,104,172,180,182,145,115,107,82,80,30,18,17,36,30,14,5,6,7,8,3,0,0,0,0,0,0
,,AB,,283,15,19,17,15,27,19,34,21,24,15,22,16,5,1,7,12,6,4,5,1,0,1,1,0,0,0,0,0,0
"Waiting for KP, will not Accept Isol. Or",All Types,All ABO,,333,10,31,14,5,7,10,10,2,5,2,11,7,8,12,13,12,9,17,14,12,12,17,16,29,50,0,0,0,0
,,O,,162,4,10,10,2,4,3,5,1,2,0,5,2,4,5,7,8,4,8,10,4,8,8,4,18,28,0,0,0,0
,,A,,117,3,13,1,3,2,6,2,1,1,1,3,4,4,5,4,2,5,8,2,6,2,7,9,7,16,0,0,0,0
