,,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
B,All Types,,"70,744","3,709","3,531","3,194","3,233","3,061","2,672","2,587","2,366","2,284","2,196","2,164","2,164","2,314","2,191","2,259","2,083","2,254","2,121","2,064","1,887","1,847","1,745","1,661","1,663","1,568","1,459","1,322","1,320","1,236","1,214","1,102","1,117","1,093","1,041","1,022"
,Not Applicable,,"5,688",22,14,12,11,13,15,20,12,31,78,77,81,114,146,146,172,219,242,293,321,326,328,294,298,256,240,252,230,217,228,188,191,206,200,195
,Kidney/Pancreas/Kidney-Pancreas: Active,,"61,168","3,398","3,278","2,989","2,963","2,827","2,470","2,377","2,178","2,074","1,977","1,943","1,945","2,041","1,919","1,989","1,790","1,935","1,788","1,720","1,523","1,473","1,386","1,334","1,337","1,283","1,191","1,053","1,044",985,942,870,853,808,741,744
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,213,0,0,2,2,4,1,3,4,6,4,1,3,9,4,5,4,5,7,3,5,5,9,5,11,7,8,3,17,8,8,11,14,10,8,17
,Kidney/Panc/Kidney-Panc: Active-Critical status,,78,0,0,0,0,0,1,2,0,0,1,0,1,1,2,1,4,3,6,5,3,5,0,0,4,1,3,3,3,1,5,3,1,4,8,7
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"3,597",289,239,191,257,217,185,185,172,173,136,143,134,149,120,118,113,92,78,43,35,38,22,28,13,21,17,11,26,25,31,30,58,65,84,59
AB,All Types,,"25,631","1,201","1,102","1,050","1,180","1,030",968,860,954,801,815,859,819,825,798,768,828,822,770,700,668,693,667,625,634,569,526,538,536,504,426,457,434,419,383,402
,Not Applicable,,"2,023",4,5,2,9,3,1,7,3,17,20,26,21,37,48,48,61,90,83,111,99,109,117,120,97,105,70,71,94,71,77,67,78,75,75,102
,
,Kidney/Pancreas/Kidney-Pancreas: Active,,"22,304","1,098","1,016",975,"1,100",952,896,797,883,728,744,773,746,731,707,679,728,702,655,573,556,572,541,499,533,457,448,461,432,417,339,375,338,307,277,269
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,44,0,0,0,3,0,1,0,0,1,2,0,2,0,1,2,0,4,1,0,1,2,2,0,0,1,2,2,0,0,0,1,3,2,4,7
,Kidney/Panc/Kidney-Panc: Active-Critical status,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,2,0,0,0,0,1,0,2
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"1,249",99,81,73,68,75,70,56,68,55,49,60,50,57,42,39,39,26,31,14,11,10,7,5,3,5,6,4,8,16,10,14,15,34,27,22
Unknown,All Types,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,11,1,1
,Not Applicable,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,10,0,1
,Kidney/Pancreas/Kidney-Pancreas: Active,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
